"ID","p1_skin","p1_hair","p1_eyebrow","p1_eye","p1_beard","p1_mouth","p1_head","p1_body","p1_r_arm_up","p1_r_arm_low","p1_r_hand","p1_l_arm_up","p1_l_arm_low","p1_l_hand","p1_r_leg","p1_l_leg","p1_r_foot","p1_l_foot","p1_primary_main_weapon","p1_primary_sub_weapon","p1_secondary_main_weapon","p1_secondary_sub_weapon","p2_skin","p2_hair","p2_eyebrow","p2_eye","p2_beard","p2_mouth","p2_head","p2_body","p2_r_arm_up","p2_r_arm_low","p2_r_hand","p2_l_arm_up","p2_l_arm_low","p2_l_hand","p2_r_leg","p2_l_leg","p2_r_foot","p2_l_foot","p2_primary_main_weapon","p2_primary_sub_weapon","p2_secondary_main_weapon","p2_secondary_sub_weapon"
24,"None","short,brown","normal_eyebrow,brown","eye,brown","None","mouth","european","european","european","european","european","european","european","european","european","european","european","european","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
25,"None","short,brown","normal_eyebrow,brown","eye,brown","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
26,"None","short,brown","normal_eyebrow,brown","eye,brown","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
27,"None","short,brown","normal_eyebrow,brown","eye,brown","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
28,"None","short,brown","normal_eyebrow,brown","eye,brown","None","mouth","early","early","early","early","early","early","early","early","early","early","early","early","common","common","common","common",,,,,,,,,,,,,,,,,,,,,,
29,"Brown","short",,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Brown","short",,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Brown",,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,"None","mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
